Taenioides buchanani,Taenioides buchanani,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Data Deficient,Unknown,2019,0-100(km),2,,,,,,,,,,,Taenioides buchanani,,,,,,,,,,,,
Taenioides cirratus,Taenioides cirratus,amphidromous,,,,,,,,,,,,,,,,amphidromous,Afrotropical|Australasian|Indomalayan|Oceanian,coastal,Data Deficient,Unknown,2012,0-100(km),3,,,https://www.reabic.net/journals/mbi/2019/1/MBI_2019_Qin_etal.pdf,Paper,,,,,,,Taenioides cirratus,,,,,,,,,,,,
---,Takifugu fasciatus,,,,,,,,,Migratory fish,,,,,,,,anadromous,NA,more than one central river,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),0-100(km),2,,,https://doi.org/10.1007/s00227-022-04128-6,Paper,https://doi.org/10.1016/j.aquaculture.2023.740155,Paper,,,,,,,,,,,,,Takifugu fasciatus,,,,
Takifugu obscurus,Takifugu obscurus,anadromous,Full Migrant,,,,,,,,,,,,,,,anadromous,Indomalayan|Palearctic,more than one central river,Least Concern,Stable,2014,500-3000(km),3,,,https://doi.org/10.17520/biods.2021119,Paper,,,,,,,Takifugu obscurus,Takifugu obscurus,,,,,,,,,,,
Takifugu ocellatus,Takifugu ocellatus,anadromous,Full Migrant,,,,,,,,,,,,,,,anadromous,Indomalayan|Palearctic,more than one central river,Near Threatened,Decreasing,2014,500-3000(km),3,,,https://doi.org/10.17520/biods.2021119,Paper,,,,,,,Takifugu ocellatus,Takifugu ocellatus,,,,,,,,,,,
Takifugu orbimaculatus,Takifugu orbimaculatus,,Full Migrant,,,,,,,,,,,,,,,little information,Indomalayan,more than one central river,Least Concern,Unknown,2011,little information,0,,,,,,,,,,,,Takifugu orbimaculatus,,,,,,,,,,,anadromous
Tandanus bostocki,Tandanus bostocki,,Full Migrant,,,,,,,,,,,,Breeding,IUCN,,"potamodromous, longitudinal",Australasian,more than one central river,Near Threatened,Unknown,2019,0-100(km),3,,,https://doi.org/10.1002/eco.2253,Paper,https://doi.org/10.1111/j.1600-0633.2010.00440.x,Paper,,,,,,Tandanus bostocki,,,,,,,,,,,potamodromous
Tandanus tandanus,Tandanus tandanus,potamodromous,,,,,,,,,,,,,Little information,may for breeding; see: https://www.nature.com/articles/s41598-020-63005-8,,"potamodromous, longitudinal",Australasian,more than one central river,Least Concern,Stable,2019,0-100(km),3,,,https://doi.org/10.1111/j.1600-0633.2010.00440.x,Paper,,,,,,,Tandanus tandanus,,,,,,,,,,,,
Tariqilabeo latius,Tariqilabeo latius,potamodromous,,potamodromous,,,,,,,,,,,Little information,"migration behavior is reported, but less information on it; see also: https://www.researchgate.net/profile/C-Roshith/publication/347521200_Review_of_Research_on_Fish_Pass_Facilities_in_India/links/5fe0949ca6fdccdcb8ec4f78/Review-of-Research-on-Fish-Pass-Facilities-in-India.pdf. Potentially small-scale migrant. Adults inhabit streams and rivers (Ref. 1479). Found over gravel and stony bottom of mountain streams (Ref. 51717). Observation reports this species in a variety of microhabitats in a headwater stream in the Ganges River basin, with stronger preference for pools. Spawning in a Himalayan population reported to occur from July to September, possibly triggered by high turbidity and stream velocities from seasonal rains. Food consists of macrophytes, algae, and diatoms (Ref. 127037). ",,little information,Indomalayan,more than one central river,Least Concern,Unknown,2018,little information,0,,,https://www.researchgate.net/profile/Vidyadhar-Atkore/publication/275833900_An_observational_note_on_Gangetic_latia_Crossocheilus_latius_latius_in_Khoh_river_Uttarakhand_India/links/55484e090cf2b0cf7aceb8e0/An-observational-note-on-Gangetic-latia-Crossocheilus-latius-latius-in-Khoh-river-Uttarakhand-India.pdf,Paper,https://doi.org/10.11609/jott.5738.14.7.21356-21367,Book,,,,,Tariqilabeo latius,,Crossocheilus latius latius,,,,,,,,,,
Tasmanogobius lordi,Tasmanogobius lordi,amphidromous,,,,,,,,,,,,,,,,amphidromous,NA,coastal,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),0-100(km),3,,,,,,,,,,,Tasmanogobius lordi,,,,,,,,,,,,
Telatrygon zugei,Telatrygon zugei,amphidromous,,amphidromous,,,,,,,,,,Marine migrant,,,,coastal,,coastal,Vulnerable,Decreasing,2021,non-migratory,2,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,Telatrygon zugei,,Dasyatis zugei,,,,,,,,,,
Telmatherina bonti,Telmatherina bonti,,Altitudinal Migrant,,,,,,,,,,,,Feeding,seems to have a daily migration pattern between riverine and lacustrine habitats. Daily short-scale migration. This species occurs in both lakes and streams within the Malili Lakes system. The species seems to be adapted to riverine habitats characterised by moderate-to-fast-flowing current. Its presence at some sites in Lakes Towuti and Mahalona mostly nearby estuarine areas at night may suggest the diel migration of the species from nearby pertinent riverine habitats during daylight to such adjacent lacustrine habitats at night.,,"potamodromous, lateral",Australasian,one large river,Endangered,Decreasing,2019,0-100(km),2,,,,,,,,,,,,Telmatherina bonti,,,,,,,,,,,potamodromous
Tenellus leporhinus,Tenellus leporhinus,,,,,lateral migration,,,,,,,,,,,,little information,Neotropical,more than one central river,Least Concern,Unknown,2023,little information,0,,,,,,,,,,,,,,,Tenellus leporhinus,,,,,,,,
Tenellus ternetzi,Tenellus ternetzi,,,,,lateral migration,,,,,,,,,,,,little information,Neotropical,more than one central river,Least Concern,Unknown,2023,little information,0,,,,,,,,,,,,,,,Tenellus ternetzi,,,,,,,,
Tenualosa ilisha,Tenualosa ilisha,anadromous,Full Migrant,,,,,,,,,,,,,,,anadromous,Indomalayan|Palearctic,more than one central river,Least Concern,Decreasing,2014,500-3000(km),3,,Partial pop mig.,,,,,,,,,Tenualosa ilisha,Tenualosa ilisha,,,,,,,,,,,
Tenualosa macrura,Tenualosa macrura,anadromous,Full Migrant,,,,,,,,,,,,,,,anadromous,Indomalayan,more than one central river,Near Threatened,Decreasing,2018,0-100(km),2,,,https://doi.org/10.1016/j.ocecoaman.2022.106384,Paper,,,,,,,Tenualosa macrura,Tenualosa macrura,,,,,,,,,,,
Tenualosa reevesii,Tenualosa reevesii,anadromous,Full Migrant,,,,,,,Migratory fish,,,,,,,,anadromous,Indomalayan|Palearctic,more than one central river,Data Deficient,Decreasing,2018,100-500(km),3,,,,,,,,,,,Tenualosa reevesii,Tenualosa reevesii,,,,,,,Tenualosa reevesii,,,,
Tenualosa thibaudeaui,Tenualosa thibaudeaui,potamodromous,Full Migrant,,,,White,,,,,,,"Short distance, potamodromous",Breeding,FB,,"potamodromous, longitudinal",Indomalayan,one large river,Vulnerable,Decreasing,2011,500-3000(km),3,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,Tenualosa thibaudeaui,Tenualosa thibaudeaui,,,,Tenualosa thibaudeaui,,,,,,,
Tenualosa toli,Tenualosa toli,anadromous,,,,,White,,,,,,,Marine migrant,,,,amphidromous,Indomalayan,coastal,Vulnerable,Decreasing,2018,0-100(km),3,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,Tenualosa toli,,,,,Tenualosa toli,,,,,,,
Terapon jarbua,Terapon jarbua,catadromous,,,,,,,,,,,,,,,,catadromous,Afrotropical|Australasian|Indomalayan|Palearctic,more than one central river,Least Concern,Unknown,2017,0-100(km),2,,,https://doi.org/10.3897/zookeys.911.39222,Paper,,,,,,,Terapon jarbua,,,,,,,,,,,,
Terapon puta,Terapon puta,amphidromous,,,,,,,,,,,,,,,,amphidromous,NA,coastal,Least Concern,Stable,2014,0-100(km),3,,,,,,,,,,,Terapon puta,,,,,,,,,,,,
Tetragonopterus argenteus,Tetragonopterus argenteus,,,,,longitudinal migration,,,Less100km,,,,,,,,,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Stable,2023,0-100(km),3,,,https://www.minambiente.gov.co/wp-content/uploads/2021/10/Gui%CC%81a-especies-migratorias-de-la-biodiversidad-en-Colombia-Volumen-2-peces.pdf ,Report,https://doi.org/10.1111/j.1600-0633.2011.00511.x,Paper,https://doi.org/10.1111/jfb.14614,,,,,,,,Tetragonopterus argenteus,,,Tetragonopterus argenteus,,,,,
Tetragonopterus chalceus,Tetragonopterus chalceus,,,,,little information,,,,,,,,,,,,little information,Neotropical,more than one central river,Least Concern,Stable,2023,little information,0,,,,,,,,,,,,,,,Tetragonopterus chalceus,,,,,,,,
Tetrapleurodon geminis,Tetrapleurodon geminis,,,,Potamodromous,,,,,,,,,,,,,"potamodromous, longitudinal",Neotropical,one large river,Endangered,Unknown,2019,0-100(km),3,,,https://animaldiversity.org/accounts/Umbra_limi/,Other,,,,,,,,,,Tetrapleurodon geminis,,,,,,,,,
Tetrapleurodon spadiceus,Tetrapleurodon spadiceus,,Full Migrant,,Potamodromous,,,,,,,,,,Breeding,"IUCN; has also a longitudinal migration for feeding, and other discrete movement for breeding",,"potamodromous, longitudinal",Neotropical,more than one central river,Critically Endangered,Decreasing,2019,0-100(km),2,,,,,,,,,,,,Tetrapleurodon spadiceus,,Tetrapleurodon spadiceus,,,,,,,,,potamodromous
Tetraroge nigra,Tetraroge nigra,amphidromous,Full Migrant,amphidromous,,,,,,,,,,,,,,amphidromous,Indomalayan|Oceanian,coastal,Least Concern,Unknown,2012,0-100(km),3,,,,,,,,,,,Tetraroge nigra,Tetraroge nigra,Tetraroge niger,,,,,,,,,,
Thaleichthys pacificus,Thaleichthys pacificus,anadromous,Full Migrant,,Anadromous,,,,,,,,,,,,,anadromous,Nearctic,more than one central river,Least Concern,Unknown,2013,0-100(km),2,,,,,,,,,,,Thaleichthys pacificus,Thaleichthys pacificus,,Thaleichthys pacificus,,,,,,,,,
Thayeria obliqua,Thayeria obliqua,,Nomadic,,,little information,,,Less100km,,,,,,Little information,"IUCN, likely for breeding. https://www.minambiente.gov.co/wp-content/uploads/2021/10/Gui%CC%81a-especies-migratorias-de-la-biodiversidad-en-Colombia-Volumen-2-peces.pdf",,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Stable,2023,0-100(km),3,,,https://www.minambiente.gov.co/wp-content/uploads/2021/10/Gui%CC%81a-especies-migratorias-de-la-biodiversidad-en-Colombia-Volumen-2-peces.pdf ,Report,,,,,,,,Thayeria obliqua,,,Thayeria obliqua,,,Thayeria obliqua,,,,,potamodromous
Thoracocharax securis,Thoracocharax securis,,,,,little information,,,,,,,,,,,,non-migratory,Neotropical,one large river,Least Concern,Unknown,2023,non-migratory,2,,,https://doi.org/10.1111/j.0906-7590.2005.04176.x,Paper,,,,,,,,,,,Thoracocharax securis,,,,,,,,
Thoracocharax stellatus,Thoracocharax stellatus,,,,,little information,,,,,,,,,,,,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Unknown,2023,0-100(km),3,,,https://doi.org/10.1111/j.0906-7590.2005.04176.x,Paper,https://doi.org/10.1111/jfb.14614,,,,,,,,,,Thoracocharax stellatus,,,,,,,,
Thryssa dussumieri,Thryssa dussumieri,amphidromous,,,,,,,,,,,,,,,,amphidromous,Indomalayan,coastal,Least Concern,Unknown,2017,0-100(km),3,,,,,,,,,,,Thryssa dussumieri,,,,,,,,,,,,
Thryssa gautamiensis,Thryssa gautamiensis,amphidromous,Full Migrant,,,,,,,,,,,,,,,amphidromous,Indomalayan,coastal,Data Deficient,Unknown,2018,0-100(km),3,,,,,,,,,,,Thryssa gautamiensis,Thryssa gautamiensis,,,,,,,,,,,
Thryssa malabarica,Thryssa hamiltonii,amphidromous,,,,,,,,,,,,,,,,coastal,,coastal,Least Concern,Unknown,2018,0-100(km),2,,,https://doi.org/10.7850/jkso.2010.15.2.072,Paper,https://doi.org/10.1007/s12526-015-0398-5,Paper,,,,,Thryssa hamiltonii,,,,,,,,,,,,
Thryssa kammalensoides,Thryssa kammalensoides,amphidromous,,,,,,,,,,,,,,,,little information,Indomalayan,coastal,Data Deficient,Unknown,2018,little information,0,,,,,,,,,,,Thryssa kammalensoides,,,,,,,,,,,,
Thryssa malabarica,Thryssa malabarica,amphidromous,,,,,,,,,,,,,,,,amphidromous,Indomalayan,coastal,Data Deficient,Unknown,2018,0-100(km),2,,,,,,,,,,,Thryssa malabarica,,,,,,,,,,,,
Thryssa mystax,Thryssa mystax,,Full Migrant,,,,,,,,,,,,,,,little information,Australasian|Indomalayan,coastal,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,,Thryssa mystax,,,,,,,,,,,amphidromous
Thryssa scratchleyi,Thryssa scratchleyi,catadromous,,,,,,,,,,,,,,,,catadromous,Australasian,more than one central river,Data Deficient,Unknown,2019,500-3000(km),3,,,,,,,,,,,Thryssa scratchleyi,,,,,,,,,,,,
Thryssa stenosoma,Thryssa stenosoma,amphidromous,,,,,,,,,,,,,,,,little information,Indomalayan,coastal,Data Deficient,Unknown,2017,little information,0,,,,,,,,,,,Thryssa stenosoma,,,,,,,,,,,,
Thryssocypris ornithostoma,Thryssocypris ornithostoma,,Full Migrant,,,,,,,,,,,,Little information,"This fish is a pelagic small-sized minnow that appears to prefer the main tributaries or mainstreams of river basins, while only feeding on insects and perhaps other small arthropods. It has been reported that it enters lake areas during the wet season and returns to the main tributaries in the dry season (Kottelat 1991, Kottelat and Widjanarti 2005).",,little information,Indomalayan,one large river,Data Deficient,Unknown,2020,little information,0,,,,,,,,,,,,Thryssocypris ornithostoma,,,,,,,,,,,potamodromous
Thryssocypris tonlesapensis,Thryssocypris tonlesapensis,,Full Migrant,,,,,,,,,,,,Little information,IUCN: migration is coupled withdry and rainy season,,"potamodromous, longitudinal",Indomalayan,one large river,Least Concern,Stable,2012,0-100(km),2,,,,,,,,,,,,Thryssocypris tonlesapensis,,,,,,,,,,,potamodromous
Thymallus arcticus,Thymallus arcticus,,Full Migrant,,Potamodromous,,,,,,Potamodromous,,,,Breeding,IUCN; has a more complexe migration behavior,,"potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Increasing,2008,100-500(km),3,,,https://emrlibrary.gov.yk.ca/ebooks/fish-life-history-and-habitat-use-in-the-northwest-territories-arctic-grayling-2007.pdf,Paper,,,,,,,,Thymallus arcticus,,Thymallus arcticus,,,,,,Thymallus arcticus,,,potamodromous
Thymallus flavomaculatus,Thymallus flavomaculatus,anadromous,,,,,,,,,,,,,Little information,,,"potamodromous, longitudinal",NA,more than one central river,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),100-500(km),2,,,https://doi.org/10.1134/S0032945206080017,Paper,,,,,,,Thymallus flavomaculatus,,,,,,,,,,,,
Thymallus thymallus,Thymallus thymallus,,Full Migrant,,,,,,,,Potamodromous,,,,Breeding,"It is sometimes found in slower-moving downstream stretches, but appears to prefer medium to large-sized channels measuring at least five metres in width and does not occur in headwaters. Lacustrine and semi-anadromous subpopulations exist in Scandinavia and the northern Baltic region, respectively, and enter mildly brackish water in the latter.",,"potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Unknown,2024,0-100(km),3,,Partial pop mig.,,,,,,,,,,Thymallus thymallus,,,,,,,,Thymallus thymallus,,,potamodromous
Thynnichthys polylepis,Thynnichthys polylepis,potamodromous,,,,,,,,,,,,,Little information,"(PDF) The Migratory Pattern and Condition of Tiny Scale Barb, Thynnichthys thynnoides (Bleeker, 1852) at Rui River, Perak, Malaysia (researchgate.net)#",,little information,Indomalayan,more than one central river,Least Concern,Stable,2020,little information,0,,,,,,,,,,,Thynnichthys polylepis,,,,,,,,,,,,
Thynnichthys sandkhol,Thynnichthys sandkhol,potamodromous,Full Migrant,,,,,,,,,,,,Breeding,seems to be most likely; see: https://journals.biologists.com/jcs/article/s2-85/338/129/63492/Development-of-the-Mesonephros-in-a-Teleostean,,little information,Indomalayan,more than one central river,Endangered,Decreasing,2011,little information,0,,,,,,,,,,,Thynnichthys sandkhol,Thynnichthys sandkhol,,,,,,,,,,,
Thynnichthys thynnoides,Thynnichthys thynnoides,potamodromous,Full Migrant,,,,Grey,,,,,,,,Breeding,IUCN,,"potamodromous, longitudinal",Indomalayan,more than one central river,Least Concern,Stable,2020,0-100(km),3,,,,,,,,,,,Thynnichthys thynnoides,Thynnichthys thynnoides,,,,Thynnichthys thynnoides,,,,,,,
Tilapia sparrmanii,Tilapia sparrmanii,potamodromous,Full Migrant,,Potamodromous,,,,,,,8km reported,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Afrotropical,more than one central river,Least Concern,Unknown,2018,0-100(km),2,,,https://pestsmart.org.au/wp-content/uploads/sites/3/2020/06/TilapiaForumProc_Final.pdf#page=14,Report,,,,,,,Tilapia sparrmanii,Tilapia sparrmanii,,Tilapia sparrmanii,,,,,,,Tilapia sparrmanii,,
Tinca tinca,Tinca tinca,potamodromous,,,Potamodromous,,,,,,,#N/A,,,,"migrations might possible, but may a non-migratory species; larger migrations are not common; see: https://www.anglermap.de/fischportal/fischlexikon/schleie-fortpflanzung.php?utm_content=cmp-true",,non-migratory,Palearctic,more than one central river,Least Concern,Decreasing,2024,non-migratory,3,,,https://fieldguide.mt.gov/speciesDetail.aspx?elcode=AFCJB43010,Database,"Ashworth, E. C., & Johnson, T. B. (2021). Review of ecological and behavioural traits of tench (Tinca tinca) in native and invaded habitats, with comparison to select Great Lakes fishes. https://www.cabidigitallibrary.org/doi/full/10.5555/20220170382 ",Paper,,,,,Tinca tinca,,,Tinca tinca,,,,,,,Tinca tinca,,
Tometes ancylorhynchus,Tometes ancylorhynchus,,,,,longitudinal migration,,,,,,,,,,,,"potamodromous, longitudinal",NA,more than one central river,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),100-500(km),3,,,https://doi.org/10.1590/S1679-62252007000200005,Paper,https://doi.org/10.1590/1982-0224-2024-0098,Paper,,,,,,,,,Tometes ancylorhynchus,,,,,,,,
Tominanga aurea,Tominanga aurea,,Altitudinal Migrant,,,,,,,,,,,,Little information,"This species tends to prefer a habitat type that with a relatively strong water current, such as at Tominanga River and the outlet area where the transition zone of lacustrine-to-riverine habitat occurs (D. Lumbantobing pers. obs. 2018). Nevertheless, more studies need to be done to confirm this because there are previous records from lacustrine habitats (Kottelat 1990), although these habitats may be close to the estuarine of the lake's inlet tributaries, or alternatively the lacustrine individuals may belong to undescribed species.",,little information,Australasian,lake and river migration,Near Threatened,Decreasing,2019,little information,0,,,,,,,,,,,,Tominanga aurea,,,,,,,,,,,potamodromous
Tor ater,Tor ater,,Altitudinal Migrant,,,,White,,,,,,,,Breeding,"assumed from family; see: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8065745/#B9-biology-10-00286. For all Tor species: Tor species mainly thrive in fast-flowing large rivers and lakes, and they migrate upstream in rivers with clear water streams and pristine and rocky bottoms for breeding [8]. The role of Tor species in the river ecosystem remains elusive due to limited studies. Nevertheless, studies have shown that Tor species migrate for spawning, maintaining the nutrient balance between the river or lake and stream [9,10].",,little information,Indomalayan,one large river,Near Threatened,Unknown,2018,little information,0,,,https://doi.org/10.3390/biology10040286,Paper,,,,,,,,Tor ater,,,,Tor ater,,,,,,,potamodromous
Tor barakae,Tor barakae,,Altitudinal Migrant,,,,,,,,,,,,Breeding,"assumed from family; see: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8065745/#B9-biology-10-00286. There is no information on the habitat or ecology of this species. However, the areas where the species has been recorded from, are fast flowing clear water streams in mid elevation regions.",,little information,Indomalayan,one large river,Near Threatened,Unknown,2018,little information,0,,,,,,,,,,,,Tor barakae,,,,,,,,,,,potamodromous
Tor dongnaiensis,Tor dongnaiensis,,Altitudinal Migrant,,,,,,,,,,,,Breeding,"assumed from family; see: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8065745/#B9-biology-10-00286. Tor dongnaiensis is found in the middle Đồng Nai drainage between 140−200 m where it shares its habitat with Labeo spp., Gyrinocheilus aymonieri, Cosmocheilus harmandi, Hampala macrolepidota, Hypsibarbus spp., Wallago attu, Bagarius yarrelli, and Hemibagrus spp. (Hoang et al. 2015).",,little information,Indomalayan,one large river,Near Threatened,Unknown,2018,little information,0,,,https://doi.org/10.3390/biology10040286,Paper,,,,,,,,Tor dongnaiensis,,,,,,,,,,,potamodromous
Tor khudree,Tor khudree,potamodromous,Altitudinal Migrant,,,,,,,,,,,,Breeding,"IUCN, FB",,"potamodromous, longitudinal",Indomalayan,more than one central river,Least Concern,Increasing,2020,0-100(km),2,,,,,,,,,,,Tor khudree,Tor khudree,,,,,,,,,,,
Tor kulkarnii,Tor kulkarnii,,Altitudinal Migrant,,,,,,,,,,,,Breeding,"assumed from family; see: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8065745/#B9-biology-10-00286. Tor kulkarnii is recorded from clear, fast flowing streams with rocky bed and has a maximum recorded length of 20.8 cm (Menon 1999).",,little information,Indomalayan,one large river,Data Deficient,Unknown,2018,little information,0,,,,,,,,,,,,Tor kulkarnii,,,,,,,,,,,potamodromous
Tor laterivittatus,Tor laterivittatus,,Altitudinal Migrant,,,,White,,,,,,,,Breeding,"assumed from family; see: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8065745/#B9-biology-10-00286. This species lives in rivers and large streams with moderate to swift current. Large adults are found in deep pools, juveniles usually occur in shallow areas with sandy substrate (which possibly is not the preferred habitat, but habitat where it is observed; Kottelat 2001).",,little information,Indomalayan,one large river,Data Deficient,Decreasing,2018,little information,0,,,https://doi.org/10.3390/biology10040286,Paper,,,,,,,,Tor laterivittatus,,,,Tor laterivittatus,,,,,,,potamodromous
Tor polylepis,Tor polylepis,,Altitudinal Migrant,,,,,,,,,,,,Breeding,assumed from family; see: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8065745/#B9-biology-10-00286. The species inhabits rivers with clear water and usually slow current (Zhou and Cui 1996). Other types of habitats including fast flowing hill streams are also likely to be used similar to other species of the genus Tor.,,"potamodromous, longitudinal",Indomalayan,one large river,Data Deficient,Unknown,2018,little information,0,,,,,,,,,,,,Tor polylepis,,,,,,,,,,,potamodromous
Tor putitora,Tor putitora,potamodromous,Altitudinal Migrant,,,,,,,,,,,,Breeding,FB,,"potamodromous, longitudinal",Indomalayan|Palearctic,more than one central river,Endangered,Decreasing,2018,100-500(km),2,,,https://dcfr.res.in/download/journalsep18/D_Sarma_M.S.Akhtar_P.Sharma_and_A.K.Singh_Resources_breeding_eco-tourism_conservation_policies_and_issues_of_Indian_mahseer.pdf,Paper,https://doi.org/10.1007/s11160-015-9409-7,Paper,https://doi.org/10.1016/S0165-7836(99)00083-1,Paper,https://doi.org/10.3390/biology10040286,Paper,Tor putitora,Tor putitora,,,,,,,,,,,potamodromous
Tor remadevii,Tor remadeviae,,Altitudinal Migrant,,,,,,,,,,,,Breeding,"assumed from family; see: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8065745/#B9-biology-10-00286. This species is known to occur in fast flowing rivers and demonstrated adaptations to adjoining lacustrine habitats. In rivers, adult fish have been shown to utilise foraging habitats ranging from deep slow flowing pools with a mixed substrate of sand and rock, through to high energy rapids flowing over bedrock and boulders (Pinder et al. 2018). Temporal and spatial information pertaining to functional habitats are still lacking, yet it seems highly probable that a lack of observed spawning is explained by these activities occurring during the monsoon period (June – October) (Pinder et al. 2018).",,little information,NA,one large river,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),little information,0,,,,,,,,,,,,Tor remadevii,,,,,,,,,,,potamodromous
Tor sinensis,Tor sinensis,potamodromous,Altitudinal Migrant,,,,White,,,,,,,Rithron,Breeding,IUCN,,"potamodromous, longitudinal",Indomalayan,one large river,Vulnerable,Unknown,2018,100-500(km),1,,,https://doi.org/10.3390/biology10040286,Paper,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,Tor sinensis,Tor sinensis,,,,Tor sinensis,,,,,,,
Tor tambra,Tor tambra,,Full Migrant,,,,,,,,,,,,Breeding,,,little information,Indomalayan,more than one central river,Data Deficient,Decreasing,2018,little information,0,,,,,,,,,,,,Tor tambra,,,,,,,,,,,potamodromous
Tor tambroides,Tor tambroides,,Full Migrant,,,,White,,,,,,,,Breeding,IUCN; FB,"Kottelat, M., Pinder, A. & Harrison, A. 2018. Tor tambroides. The IUCN Red List of Threatened Species 2018: e.T187939A91076554. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T187939A91076554.en. Accessed on 21 December 2024.","potamodromous, longitudinal",Indomalayan,more than one central river,Data Deficient,Decreasing,2018,100-500(km),1,,,https://doi.org/10.3390/biology10040286,Paper,,,,,,,,Tor tambroides,,,,Tor tambroides,,,,,,,potamodromous
Tor tor,Tor tor,potamodromous,Altitudinal Migrant,,,,,,,,,,,,Breeding,FB,,"potamodromous, longitudinal",Indomalayan,one large river,Data Deficient,Unknown,2018,100-500(km),1,,,"Petr, T., and S. B. Swar. 2002. “Cold Water Fisheries in the Trans-Himalayan Countries; FAO Fisheries Technical Paper 431.” (January 2002):361. https://books.google.de/books?hl=de&lr=&id=GFw3SK6xzvIC&oi=fnd&pg=PR11&dq=Petr,+T.,+and+S.+B.+Swar.+2002.+%E2%80%9CCold+Water+Fisheries+in+the+Trans-Himalayan+Countries%3B+FAO+Fisheries+Technical+Paper+431.%E2%80%9D+(January+2002):361.&ots=TsadU6vkGx&sig=S3EtaR5tNvtDvgIcFjMAVuZegJA#v=onepage&q&f=false ",Paper,https://doi.org/10.3390/biology10040286,Paper,,,,,Tor tor,Tor tor,,,,,,,,,,,
Tor yingjiangensis,Tor yingjiangensis,,Altitudinal Migrant,,,,,,,,,,,,Breeding,"assumed from family; see: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8065745/#B9-biology-10-00286. No specific information on the habitat or ecology of Tor yingjiangensis is available. But the habitat from where it was described is a fast flowing river in the upper reaches. Like other species of mahseer, T. yingjiangensis probably inhabits fast flowing hill streams and deep pools in larger rivers.",,"potamodromous, longitudinal",Indomalayan,one large river,Data Deficient,Unknown,2018,little information,0,,,https://doi.org/10.3390/biology10040286,Paper,,,,,,,,Tor yingjiangensis,,,,,,,,,,,potamodromous
Toxotes blythii,Toxotes blythii,amphidromous,,,,,,,,,,,,,,,,amphidromous,Indomalayan,coastal,Data Deficient,Unknown,2012,0-100(km),3,,,,,,,,,,,Toxotes blythii,,,,,,,,,,,,
Toxotes chatareus,Toxotes chatareus,amphidromous,,,,,White,,,,,,,,,,,amphidromous,Australasian|Indomalayan,coastal,Least Concern,Stable,2019,0-100(km),3,,,https://researchoutput.csu.edu.au/ws/portalfiles/portal/227418935/Diversity_in_migration_patterns_of_selected_Mekong_River_fishes_Full_PhD_Thesis.pdf,Other,,,,,,,Toxotes chatareus,,,,,Toxotes chatareus,,,,,,,
Toxotes jaculatrix,Toxotes jaculatrix,amphidromous,,,,,,,,,,,,,,,,amphidromous,Australasian|Indomalayan|Oceanian,coastal,Least Concern,Unknown,2012,0-100(km),3,,,,,,,,,,,Toxotes jaculatrix,,,,,,,,,,,,
Toxotes microlepis,Toxotes microlepis,potamodromous,,,,,White,,,,,,,,Little information,"IUCN has some ecological info, no clear reproduction strat; FB empty, little other info. Potentially migrating. It occurs in large rivers (Kottelat 1998). It is found along the shores of flowing and standing waters with overhanging vegetation. This is the one of the more common species of the genus, found well upstream from estuaries. It feeds on terrestrial insects, zooplankton, crustaceans and aquatic insect larvae. According to M. Kottelat (pers. comm. 2011) it is the only species of the genus found exclusively in freshwater; however GBIF (2018) records show a strictly marine locality in the South China Sea. It has a dominant presence at Khone falls during dry season, exhibiting a small peak in beginning of rainy season (Baran et al. 2005). ",,little information,Indomalayan,more than one central river,Least Concern,Unknown,2018,little information,0,,,,,,,,,,,Toxotes microlepis,,,,,Toxotes microlepis,,,,,,,
Trachelyopterus galeatus,Trachelyopterus galeatus,,,,,little information,,,,,,,,,,,,non-migratory,Neotropical,more than one central river,Least Concern,Unknown,2023,non-migratory,3,,,https://doi.org/10.1002/jmor.10931,Paper,https://doi.org/10.4025/actascibiolsci.v43i1.56235,Paper,,,,,,,,,Trachelyopterus galeatus,,,,,,,,
